Video,Views,Watch time (hours),Likes,Dislikes,Shares,Subscribers gained,Comments added,YouTube ad revenue (TWD),Likes (vs. dislikes) (%),Subscribers lost,Average percentage viewed (%),Average view duration,Subscribers,Impressions,Impressions click-through rate (%)
69hkc-ibLZg,16217,2239.2777,136,12,14,53,35,2251.124,91.89,6,27.75,497,47,196903,5.75
kEAa0-2HtAs,17229,1457.7331,195,7,9,31,29,1220.263,96.53,5,51.27,304,26,187142,6.73
qGwUXnwLjsY,8769,748.874,107,0,12,22,20,1046.628,100,6,20.94,307,16,91501,6.71
C7vK5V8fQZg,11017,1520.7899,84,4,15,28,21,2361.05,95.45,2,29.06,496,26,139350,5.71
FUsmy-5ZHhs,19218,1938.0633,156,15,25,70,18,4759.248,91.23,4,40.29,363,66,221504,6.25
7dM5PCBZPks,8918,940.0849,83,4,16,23,7,1901.987,95.4,4,38.03,379,19,111580,5.75
wsv-oYMmhuY,27616,2021.2266,264,14,171,124,29,5531.64,94.96,4,29.61,263,120,210941,9.31
5NF4n0Tqv-4,6631,664.7331,67,4,24,23,17,1270.728,94.37,0,41.53,360,23,91083,5.21
TvVCpP-j81Q,9553,959.6805,93,6,21,16,12,1927.912,93.94,3,42.85,361,13,132815,5.1
ba-OsKFmKEY,14879,1712.8567,114,11,15,34,10,3389.595,91.2,1,37.74,414,33,236236,4.49
djh-8NNX-d4,14696,1224.6302,173,4,168,73,21,2684.596,97.74,1,38.17,299,72,142121,7.3
2FCHxXxkvbk,5348,510.5997,54,1,18,13,8,1111.143,98.18,1,42.02,343,12,70643,5.41
ostEjgj4lAw,20605,1749.389,197,20,25,95,35,5119.954,90.78,3,44.1,305,92,182026,7.86
leO4kJWC6n0,61912,6591.5356,597,38,297,269,66,17358.494,94.02,5,39.55,383,264,675884,6.31
nSH_p6L71rc,9384,1348.8961,87,5,25,35,9,2105.39,94.57,0,32.48,517,35,148900,4.39
UfgQNNmb-v0,6136,450.4648,76,2,18,18,17,1299.162,97.44,1,40.91,264,17,85586,5.12
tRSIT6rl_Qw,9756,952.4931,100,8,19,28,10,2040.996,92.59,1,37.15,351,27,121805,5.81
7WblscCimsY,21551,2329.5732,170,22,26,60,38,5242.786,88.54,0,39.67,389,60,206597,7.49
Ggkon_hf7NM,7883,596.7524,101,4,37,32,26,1342.81,96.19,4,34.54,272,28,107656,5.28
RJCxVVKwf-Y,20866,1814.8714,232,18,86,45,42,5540.313,92.8,0,41.8,313,45,202900,7.21
Er9B8nt2VXg,18039,1268.8056,176,8,174,70,36,3718.444,95.65,1,32.71,253,69,155094,7.67
o-35kNEGyuE,5623,604.8206,66,2,13,16,16,1453.286,97.06,1,38.61,387,15,66655,5.94
xDlt1omnz9w,8175,934.2335,88,2,18,24,19,1792.42,97.78,1,38.63,411,23,119730,4.76
QApQ87_0czU,12835,1765.8605,140,5,41,24,23,3042.348,96.55,2,41.55,495,22,162849,5.53
yRr4ZHgbAAU,8265,672.3743,121,3,12,25,14,1828.748,97.58,3,46.78,292,22,85592,7.04
BS3m6sIB7aQ,10861,1193.7096,120,5,31,22,22,2368.033,96,1,45.12,395,21,107618,7.37
pD6gulI9F1w,10409,1397.3143,131,9,8,23,39,1904.314,93.57,0,39.71,483,23,133712,5.64
3a8Vf52eQm4,7587,794.4389,59,4,9,14,14,1330.575,93.65,1,36.28,376,13,94490,5.8
DmQYdez8xBU,12995,1716.7521,136,11,29,23,28,2642.45,92.52,3,44.28,475,20,216267,4.33
P9C2cMQan64,7298,679.2601,102,9,10,14,18,1374.93,91.89,2,46.03,335,12,87198,6.24
AWrXOdJb8fY,9635,937.394,113,3,53,24,22,1613.866,97.41,5,40.21,350,19,118313,6.23
u8bVToXTs5o,10718,1223.972,113,7,11,18,25,1939.349,94.17,1,37.48,411,17,106554,7.27
cKDvwic5mWo,7658,771.3439,105,4,28,13,22,1499.44,96.33,0,46.19,362,13,90254,6.12
i6SIzsHM3og,11582,1492.6422,112,8,12,13,21,2010.485,93.33,2,41.02,463,11,136672,6.2
YkpMDLoKYpY,7881,1287.5876,93,10,10,15,20,1737.758,90.29,2,41.3,588,13,107498,5.19
AnbLVvdUYyI,8039,622.383,91,6,8,14,23,689.629,93.81,4,48.13,278,10,112385,5.19
NPAqvNWFyqo,16609,1408.6248,165,32,2,23,23,3132.103,83.76,4,38.21,305,19,165242,7.65
cL69mnBHkV4,9186,722.8878,97,3,44,19,21,1532.982,97,5,37.13,283,14,113512,6.09
56XHWEmjNuI,7138,708.9865,94,3,8,14,18,1391.915,96.91,2,44.98,357,12,80931,6.72
EUn9QZMVKG4,11432,1447.4921,123,8,35,23,16,2511.853,93.89,1,46.84,455,22,163039,4.98
pavJbqa3_6c,27092,2688.2887,281,17,52,69,45,6459.366,94.3,7,49.07,357,62,339065,6
fEg4vVnqeLU,17572,1737.0624,216,9,31,59,36,3952.096,95.98,2,49.78,355,57,252840,5.26
aKWgY60cp_E,11989,1259.7181,113,8,4,11,18,2268.303,93.39,2,30.41,378,9,160038,5.56
uq5s5KHV_FE,8276,825.4819,89,4,10,11,22,1765.473,95.7,1,38.61,359,10,117631,5.44
inxHvn4d4ds,24996,3425.8972,155,19,10,27,18,4331.54,89.08,1,29.55,493,26,323588,5.71
B-t6R8uRgjw,13327,1710.8954,133,9,15,18,22,3060.05,93.66,0,44.31,462,18,231307,4.37
yeocdBt9buw,7401,770.3362,72,5,4,9,17,1032.582,93.51,3,32.8,374,6,85530,5.89
6NahvmrfnQQ,19543,1860.1862,155,15,5,28,19,4078.862,91.18,6,46.81,342,22,274358,5.65
bjkwhZQLbUA,5665,479.0233,50,2,3,11,27,694.908,96.15,3,25.22,304,8,67158,6.75
HWJHNlIycnU,12180,968.9731,106,8,2,10,6,2092.655,92.98,1,36.11,286,9,125161,7.82
4BiChiDG2Mk,26173,2895.0844,227,11,137,83,47,6199.161,95.38,1,36.07,398,82,330475,5.93
EtRhv1NMULg,31020,3111.7055,604,31,202,126,61,8246.979,95.12,5,40.94,361,121,360713,6.2
UeH61WDl9d8,23134,2503.5752,494,11,59,71,56,5309.166,97.82,3,37.18,389,68,402739,4.2
PScomhFImWY,29848,4092.1348,822,32,83,123,71,7083.922,96.25,2,49.6,493,121,564080,3.86
aLJw5h_1Zxo,18704,1883.0548,192,14,40,35,46,5140.97,93.2,2,40.68,362,33,190032,7.56
A1fbvrL0iIM,34823,4423.6362,476,34,190,106,65,9468.734,93.33,5,42.66,457,101,540586,4.83
DAb8Zb9FCv4,22112,2039.3855,909,21,14,92,90,5813.727,97.74,5,44.99,332,87,303793,5.67
e5ModNAn9nc,16998,1549.7137,279,17,111,49,42,4025.657,94.26,2,45.33,328,47,207443,6.25
AY14aPkXyYg,35007,3357.3338,616,29,93,145,157,7713.231,95.5,7,46.72,345,138,338206,7.62
USHqgAWlGFE,16044,1596.3951,365,15,38,50,48,3816.91,96.05,1,46.95,358,49,191433,6.52
IRiOynCr-Q4,19693,2086.0811,346,15,59,57,55,4766.82,95.84,2,48.7,381,55,257444,5.9
Zg618_h0iHA,13705,1414.0469,247,7,37,23,36,3402.355,97.24,2,46.96,371,21,157577,6.29
_WN0ZOs0avQ,14155,1575.2523,197,12,9,23,47,2414.67,94.23,7,37.27,400,16,188837,5.79
MBFVByVkhT4,22563,2140.9237,373,22,18,55,60,6851.408,94.43,2,50.24,341,53,201162,8.47
1872_lxkl4c,9209,902.6282,168,11,36,22,43,2874.018,93.85,3,39.83,352,19,97904,6.92
pNTTgJH4rYY,3200,843.7957,38,3,1,9,505,0,92.68,5,14.54,949,4,41620,5.21
eAzx31dqZ-A,12221,1277.982,127,6,37,18,21,3208.756,95.49,1,42.63,376,17,152591,6.03
yhGO2-ZsJn4,13577,1894.6282,170,12,31,26,29,3221.583,93.41,2,48.59,502,24,168106,6.18
xVORVoidnEw,10340,1022.0576,199,9,8,25,37,2920.077,95.67,3,44.1,355,22,109783,7.12
Nl5nPRYyJl8,12218,1155.3061,249,3,33,35,65,3379.594,98.81,2,47.47,340,33,123565,7.18
983n6Hrgmxo,10034,672.3629,183,12,10,25,53,760.66,93.81,4,44.47,241,21,94350,7.97
4-wsSDjlskQ,12366,1308.4761,219,9,77,30,49,2588.2,96.05,1,54.42,380,29,148902,6.15
NszK47LQj2I,9419,1023.3022,132,10,28,27,34,2277.935,92.96,5,41.85,391,22,111254,6.33
HTuUva12etQ,9562,1010.9564,157,9,15,17,29,2326.485,94.58,1,49.85,380,16,107006,6.88
MuabVy2hZpo,7638,675.5352,132,6,7,21,25,1568.767,95.65,2,46.35,318,19,97791,5.8
lORmL9zUORg,8622,565.6581,124,17,6,12,59,1504.866,87.94,25,31.24,236,-13,80069,7.99
4k7yYoIfL08,8905,842.5621,144,10,49,14,45,1736.182,93.51,10,38.53,340,4,84902,7.3
hx5i4ksAbzg,22536,2109.1254,235,26,33,33,44,5586.549,90.04,15,51.59,336,18,188531,8.95
dKknxMiKPS8,15143,1799.7421,166,9,23,24,37,4306.067,94.86,11,47.54,427,13,176184,6.46
ZVd5YCq2Bxw,10130,3374.3702,98,23,9,6,286,722.336,80.99,4,19.52,1199,2,147301,3.74
p29RgjgX9PU,17727,2406.1187,127,20,11,14,23,3894.563,86.39,11,46.18,488,3,209862,5.93
VyeLZD-yqLE,8367,3892.3697,56,12,3,8,822,563.638,82.35,4,29.95,1674,4,81146,5.71
J80dtbytpw0,15366,2336.6225,100,12,6,23,16,3111.133,89.29,10,53.14,547,13,247882,4.39
iedviQEhVgY,10434,1579.2346,67,17,1,10,12,1404.92,79.76,4,38.13,544,6,145543,5.15
DmNtyV26Ya8,27301,4232.3954,153,63,13,40,42,6723.444,70.83,9,45.85,558,31,397695,5.04
CjCSjAldLEw,5797,648.9512,111,7,7,9,15,999.177,94.07,3,38.38,403,6,82803,5.09
OIit134SBXg,5232,424.3041,80,4,3,4,10,733.454,95.24,6,40.94,291,-2,72146,5.65
Xf7OrGG_dX0,26197,3140.9252,215,15,161,65,36,4987.694,93.48,6,34.75,431,59,294686,6.35
ruMtokUkHFg,10606,1046.1812,128,7,68,21,31,2155.515,94.81,2,40.22,355,19,119721,6.3
EgBDfRrqy6M,18796,2168.5513,219,10,129,61,42,3832.95,95.63,1,35.87,415,60,238604,5.6
5RnRdgxFij4,15594,1468.8263,292,12,90,64,39,3406.547,96.05,1,41.86,339,63,174749,6.38
64daXAaQNaw,14697,1412.6959,219,10,45,36,44,3577.529,95.63,6,45.41,346,30,157729,6.96
AsM7ebhESL0,10230,2400.97,117,1,3,36,5534,719.677,99.15,5,10.43,844,31,200649,3.62
_ngbbjhVnaE,15841,1322.8061,67,19,42,31,18,2327.091,77.91,2,31.68,300,29,128477,9.88
6F8UAsnFfhs,3450,441.8545,72,6,3,4,229,208.194,92.31,2,19.14,461,2,40236,6.6
5jiain9qvA8,14927,1356.4006,252,7,77,39,29,2095.873,97.3,2,48.68,327,37,163969,7.4
VNoAG0Hm2Wc,11153,1195.1746,164,6,11,19,51,1965.472,96.47,3,42.3,385,16,141612,6.38
UAERHjzTKms,9163,926.9327,169,6,12,10,34,799.533,96.57,0,41.38,364,10,122037,6.05
qtneNEpfnlw,17775,980.9005,308,42,28,169,55,1273.29,87.97,9,50.29,198,160,219525,5.95
